,supplier_name,water_usage_per_capita,total_population_served,reported_final_total_potable_water_production,final_percent_residential_use,reported_recycled_water,percent_non_revenue,climate_zone,county_under_drought_declaration,precip,ETo_mm,max_temp,min_temp,avg_temp,palmer_hydro,palmer_z_index,DissolvedOxygen,pH,ElectricalConductance,cluster,pca_1,pca_2
72,Ceres  City Of,0.0036745188312496753,47865.5,175.64377592592592,75.05277777777778,0.0,9.501115061260938,12,0.12962962962962962,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,5.475185626102292,7.829748901313178,148.0,0,-0.08006564826143343,-0.3960421016856612
73,Cerritos  City Of,0.012402412326358553,49295.36448598131,611.3421588785046,87.0,18.66429906542056,3.3778203033524727,8,0.12149532710280374,1.6439719626168225,126.2566993802734,72.5018691588785,47.38317757009346,59.950467289719626,-2.4245794392523363,-0.6081308411214954,8.689777481085892,8.345685764181956,148.0,0,0.499778753278585,0.3600252340724347
74,Chino  City Of,0.012996049889372512,78201.94444444444,1006.6835555555556,62.21366666666666,0.0,0.08300914080142832,10,0.15555555555555556,1.6957222222222224,123.44204304048397,72.21222222222222,47.16888888888889,59.69888888888889,-2.849666666666667,-0.6618888888888889,8.797045454545454,8.30416695837931,148.0,0,1.4453814090545707,-0.4738083902958037
75,Chino Hills  City Of,5.646614563020638,80362.97222222222,452472.0236481481,75.59444444444445,55812.25599074074,0.08742567746341151,10,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.813525533108866,8.33458146858509,148.0,0,0.8190324215801718,0.8279621121969007
76,Chowchilla City Of,5851.526927693065,13375.0,78264172.65789473,65.83131578947369,0.0,15.675671897024735,13,0.5263157894736842,1.3980263157894737,122.88744756222796,72.20263157894736,46.54736842105263,59.376315789473686,-3.883947368421053,-1.1836842105263157,8.866666666666667,8.164569918321861,148.0,1,-9.103476598419993,-1.6230001653404107
77,Citrus Heights Water District,0.013364045788106306,66820.54901960785,888.8735294117647,88.73529411764706,0.0,2.756453833325084,12,0.18627450980392157,1.5999019607843137,125.34783740811528,72.62745098039215,47.431372549019606,60.037254901960786,-2.6566666666666667,-0.742450980392157,8.866666666666667,7.939135974503419,148.0,1,-1.1964344809717924,0.11341713663712572
78,"City Of Big Bear Lake, Dept Of Water & Power",0.0021769953483338398,27212.233644859814,59.03121495327103,75.66588785046729,0.0,9.122983086635038,16,0.1588785046728972,1.5993457943925233,127.42951278209593,72.70841121495327,47.52242990654205,60.123364485981305,-2.370841121495327,-0.6316822429906542,8.803060039648825,8.341453149654084,148.0,0,-1.2140267886205067,0.7012223762318431
79,City Of Newman Water Department,5141.178014857931,11355.317757009347,58344794.41485982,61.6785046728972,0.0,0.015992138849452383,12,0.205607476635514,1.6526635514018693,125.93454054580016,72.38411214953271,47.3177570093458,59.85794392523365,-2.3350467289719625,-0.5698130841121495,5.47589764129951,8.124173512362324,148.0,0,0.4062095120410961,-1.3528087343145128
80,Cloverdale,0.003497784391728287,9055.85,31.676098862499998,72.79125,0.0,6.1376766382500545,2,0.2375,1.586875,127.14165267143028,72.79375,47.5075,60.160000000000004,-1.9613749999999999,-0.586625,13.923636904761903,7.77769647224212,148.0,0,-1.405903309703243,-0.9145752341419848
81,Clovis  City Of,0.005387760146831886,117584.79629629629,632.8713518518518,82.47101851851852,7.241981481481481,0.14647999672295428,13,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,5.051481481481481,8.207886540579118,148.0,0,1.0653018040698945,1.2329820229976352
82,Coachella  City Of,0.004287215007650204,45252.72641509434,194.10699056603775,73.96688679245283,0.0,0.11586018851803442,15,0.18867924528301888,1.6661792452830189,125.07826245573085,72.19245283018867,47.160377358490564,59.683018867924524,-2.290943396226415,-0.5484905660377358,8.433333333333334,8.341705933754081,148.0,0,1.975355275595427,-0.016714692664330975
83,Coachella Valley Water District,0.027629773961911772,295973.3796296296,8164.654907407407,71.75555555555555,0.0,0.010083947949350506,15,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.866666666666667,8.28139877346368,148.0,0,1.1830349016694146,1.059552998618939
84,Coalinga City Of,0.014030734610638185,16917.346666666668,234.59466666666665,59.166666666666664,0.0,7.285654694840712,13,0.24,1.5914000000000001,128.24934253573556,73.63333333333334,48.18666666666667,60.92,-2.8126666666666664,-0.6314666666666666,4.9364,7.944636077521418,148.0,1,-3.890604681721804,2.04540130686395
85,Coastside County Water District,0.0030253249902958894,17346.896226415094,52.168207547169814,56.607830188679245,0.0,1.570907767252732,3,0.19811320754716982,1.6546698113207547,126.0630990459481,72.54150943396226,47.43207547169811,59.994339622641505,-2.4766981132075467,-0.5965094339622642,3.4245283018867925,8.115630740530856,148.0,0,0.5250491770743579,0.728638219529909
86,"Colton, City Of",0.2886962444120807,51695.46913580247,15564.746209876543,54.41456790123457,0.0,1.795443517535727,10,0.18518518518518517,1.6249382716049383,126.01934993039906,72.69753086419753,47.502469135802464,60.10493827160494,-2.8493827160493828,-0.6454320987654321,8.728603762492652,8.34804133189627,148.0,1,-1.0069488294830262,0.978559329403762
87,Compton  City Of,0.1271773840078084,80501.90217391304,10412.649847826087,69.54608695652173,0.0,0.43696314910269296,8,0.16304347826086957,1.6710869565217392,124.06157280170808,72.43152173913043,47.34021739130435,59.893478260869564,-2.8583695652173917,-0.6439130434782608,8.739741200828158,8.417584535802655,148.0,0,0.6080628353025275,0.3200430491135908
88,Contra Costa Water District,0.009320522688452345,202110.25925925927,1886.4750925925925,76.2175925925926,0.0,0.056439515696127214,12,0.2037037037037037,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,13.230917484685522,7.777006607418337,148.0,0,0.5615522274623881,-0.8357746528271536
89,"Corcoran, City Of",0.007472549142579362,20460.97333333333,140.72169333333335,63.020399999999995,1.6742266666666668,14.589578199821096,13,0.29333333333333333,1.752,122.0562869779654,72.01333333333334,47.037333333333336,59.53066666666667,-2.8161333333333336,-0.5801333333333333,7.590088888888888,8.229517777777778,148.0,0,1.5938666905182597,-2.5552545941417097
90,Corona  City Of,0.013850186584473591,169741.85185185185,2348.7125925925925,68.615,317.7455589342593,4.717459925778015,10,0.18518518518518517,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.427160493827161,8.335533501683502,148.0,0,0.7400058939065144,0.8280654260713337
91,Covina  City Of,0.012667969108952343,33490.26666666667,424.5955238095238,76.89106666666666,0.0,0.06327977286052312,9,0.12380952380952381,1.6304285714285713,127.17574198228408,72.70190476190476,47.53238095238095,60.12476190476191,-2.4117142857142855,-0.6005714285714286,8.768154195011338,8.383538473167045,148.0,0,0.05686151844504903,1.0814208469361606
92,Crescent City  City Of,0.0034529038639346497,18732.277777777777,64.68407407407408,59.949074074074076,0.0,1.0124790709092704,1,0.1388888888888889,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,11.470416666666667,8.071045887459723,148.0,0,0.04148312424030148,-0.4797338068337073
93,Crescenta Valley Water District,32.03466904544414,32670.417475728154,1012695.4445631069,80.95728155339806,0.0,0.6605890836179316,9,0.11650485436893204,1.6346601941747574,127.09131065896433,72.67961165048544,47.5495145631068,60.12135922330097,-2.3848543689320385,-0.616504854368932,8.644304207119742,8.318271705963939,148.0,0,0.15689432566577383,0.821358011129018
94,Crestline Village Water District,2.876852730299005,8381.79012345679,23797.882469135802,75.67901234567901,0.0,0.6699130987858026,16,0.16049382716049382,1.630246913580247,125.46949020795282,72.56543209876543,47.34444444444445,59.961728395061726,-2.9185185185185185,-0.7111111111111111,8.786258083480305,8.30031939689456,148.0,1,-1.326576840008433,0.05158595982278931
95,Cucamonga Valley Water District,0.016809278355032726,204287.31,3433.92156,65.061,0.0,0.03056182216665654,10,0.22,1.68355,125.15772372520485,72.173,47.13399999999999,59.662,-2.6795999999999998,-0.6307,8.830607575757575,8.356528752243692,148.0,0,1.9515291447612448,-0.012702889413424614
96,Daly City  City Of,2.16225621350482,108045.1574074074,233545.95101851854,87.26666666666667,503.82935185185187,0.0012594680732064007,3,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,3.423888888888889,8.050077633190355,148.0,0,1.0544847872971235,1.1302474431483711
97,Davis  City Of,0.0038494834660387557,69853.43518518518,268.81074074074075,73.85092592592592,0.0,0.1410669746911321,12,0.21296296296296297,1.6379166666666667,126.71605498088255,72.52037037037037,47.403703703703705,59.96944444444444,-2.3761111111111113,-0.6016666666666667,8.066657856302133,7.742199428895426,426.9817349660929,0,0.5031778198235781,-0.3104849411385456
98,Del Oro Water Company,3.49660597117468,8683.273684210526,30374.39252631579,75.85021052631579,0.0,12.236608673862017,11,0.24210526315789474,1.5600000000000003,127.51963376751236,72.98842105263158,47.65052631578948,60.32631578947368,-2.825157894736842,-0.7528421052631579,9.372747284878864,7.346990773211025,57.466666666666676,1,-4.582537974553266,-1.3139765215505568
99,Delano  City Of,0.004224847802770514,53686.057692307695,226.15448653846153,54.88461538461539,0.0,1.684449018550608,13,0.16346153846153846,1.5985576923076923,127.04343781976542,72.90865384615384,47.700961538461534,60.3125,-2.5576923076923075,-0.6675,8.866666666666667,8.130038371998184,148.0,1,-1.3573493159683339,1.2733235955112054
